id	label	x	y
sample1	Group_6	1515	705
sample1	Group_1	2088	706
sample1	Group_8	1881	705
sample1	Group_1	2434	707
sample1	Group_6	1800	710
sample1	Group_9	851	708
sample1	Group_7	1837	709
sample1	Group_1	2362	710
sample1	Group_7	1502	712
sample1	Group_1	1561	708
sample1	Group_5	1586	711
sample1	Group_9	1061	714
sample1	Group_5	462	714
sample1	Group_1	2024	720
sample1	Group_2	1812	716
sample1	Group_9	1919	720
sample1	Group_6	1630	721
sample1	Group_1	1800	723
sample1	Group_5	1679	724
sample1	Group_9	820	725
sample1	Group_9	879	729
sample1	Group_1	1085	727
sample1	Group_9	1058	727
sample1	Group_9	574	733
sample1	Group_7	1776	728
sample1	Group_5	653	729
sample1	Group_5	1297	726
sample1	Group_8	1421	730
sample1	Group_9	2269	731
sample1	Group_5	1860	731
sample1	Group_6	1460	735
sample1	Group_5	2234	734
sample1	Group_2	2483	740
sample1	Group_9	2280	739
sample1	Group_9	1238	731
sample1	Group_7	1689	735
sample1	Group_1	2387	737
sample1	Group_1	513	738
sample1	Group_9	1022	743
sample1	Group_1	1176	743
sample1	Group_5	1311	741
sample1	Group_1	1721	742
sample1	Group_9	2060	743
sample1	Group_5	2399	742
sample1	Group_1	698	744
sample1	Group_5	829	744
sample1	Group_9	1811	745
sample1	Group_1	2265	746
sample1	Group_9	592	746
sample1	Group_9	2353	747
sample1	Group_1	2226	748
sample1	Group_9	2499	751
sample1	Group_9	683	754
sample1	Group_8	1770	753
sample1	Group_8	1805	752
sample1	Group_7	1533	755
sample1	Group_1	1936	757
sample1	Group_6	1744	761
sample1	Group_5	1781	757
sample1	Group_9	1839	758
sample1	Group_5	1479	760
sample1	Group_7	1637	760
sample1	Group_9	2117	764
sample1	Group_5	937	764
sample1	Group_6	795	766
sample1	Group_9	825	763
sample1	Group_8	1078	765
sample1	Group_1	1254	763
sample1	Group_6	1559	764
sample1	Group_1	1929	766
sample1	Group_9	2505	767
sample1	Group_1	2306	766
sample1	Group_5	1093	767
sample1	Group_5	955	769
sample1	Group_1	2488	770
sample1	Group_8	1500	773
sample1	Group_5	1794	771
sample1	Group_1	573	773
sample1	Group_9	803	775
sample1	Group_1	1028	778
sample1	Group_5	1474	776
sample1	Group_5	686	777
sample1	Group_1	1178	778
sample1	Group_9	1294	779
sample1	Group_9	1448	777
sample1	Group_5	1809	774
sample1	Group_8	1407	778
sample1	Group_1	485	776
sample1	Group_2	1892	781
sample1	Group_9	818	779
sample1	Group_9	1200	785
sample1	Group_5	1536	780
sample1	Group_5	1651	782
sample1	Group_9	1308	781
sample1	Group_6	1615	784
sample1	Group_7	1907	792
sample1	Group_5	509	793
sample1	Group_8	1687	793
sample1	Group_5	1698	793
sample1	Group_5	1401	795
sample1	Group_9	1964	796
sample1	Group_7	1901	800
sample1	Group_5	490	801
sample1	Group_5	1878	798
sample1	Group_9	2060	798
sample1	Group_5	1383	799
sample1	Group_5	1083	801
sample1	Group_6	1817	803
sample1	Group_1	1785	810
sample1	Group_5	1149	805
sample1	Group_1	2251	809
sample1	Group_5	1274	808
sample1	Group_1	542	808
sample1	Group_7	663	807
sample1	Group_3	1332	808
sample1	Group_6	1705	808
sample1	Group_9	2383	811
sample1	Group_6	2420	809
sample1	Group_5	1803	810
sample1	Group_9	888	810
sample1	Group_9	1579	816
sample1	Group_5	1891	816
sample1	Group_5	613	816
sample1	Group_1	504	817
sample1	Group_6	1482	816
sample1	Group_6	792	818
sample1	Group_5	1762	818
sample1	Group_5	2307	818
sample1	Group_6	1599	820
sample1	Group_9	1068	817
sample1	Group_5	2260	821
sample1	Group_5	2328	818
sample1	Group_3	1183	826
sample1	Group_5	1618	823
sample1	Group_8	1877	825
sample1	Group_1	994	822
sample1	Group_9	1050	822
sample1	Group_9	731	826
sample1	Group_5	1472	826
sample1	Group_5	2300	829
sample1	Group_5	1365	827
sample1	Group_6	1805	828
sample1	Group_9	2027	830
sample1	Group_1	2206	829
sample1	Group_9	2531	830
sample1	Group_1	545	828
sample1	Group_1	762	827
sample1	Group_7	1537	829
sample1	Group_5	1267	828
sample1	Group_1	1762	832
sample1	Group_7	1707	834
sample1	Group_7	1609	835
sample1	Group_1	794	839
sample1	Group_3	1138	836
sample1	Group_5	1677	837
sample1	Group_5	1779	839
sample1	Group_1	766	839
sample1	Group_5	1640	840
sample1	Group_5	1845	840
sample1	Group_5	2196	841
sample1	Group_1	1072	843
sample1	Group_8	1762	844
sample1	Group_5	1517	843
sample1	Group_9	722	843
sample1	Group_8	1320	845
sample1	Group_1	1981	845
sample1	Group_5	1274	847
sample1	Group_9	1473	849
sample1	Group_1	2178	850
sample1	Group_1	1138	850
sample1	Group_5	564	852
sample1	Group_5	2427	853
sample1	Group_2	728	856
sample1	Group_5	1855	855
sample1	Group_1	1217	862
sample1	Group_8	1464	861
sample1	Group_9	2529	861
sample1	Group_5	1521	859
sample1	Group_5	1453	863
sample1	Group_9	1924	861
sample1	Group_9	2471	865
sample1	Group_9	662	866
sample1	Group_9	1199	868
sample1	Group_7	1443	869
sample1	Group_8	1064	871
sample1	Group_5	1282	872
sample1	Group_7	2369	869
sample1	Group_8	1765	869
sample1	Group_9	1849	868
sample1	Group_7	1780	870
sample1	Group_9	704	877
sample1	Group_9	1985	874
sample1	Group_9	884	875
sample1	Group_8	1487	875
sample1	Group_8	1588	874
sample1	Group_1	2183	875
sample1	Group_6	1812	878
sample1	Group_5	1451	880
sample1	Group_4	1646	880
sample1	Group_9	869	882
sample1	Group_9	2485	883
sample1	Group_3	1080	884
sample1	Group_9	1741	885
sample1	Group_9	2420	883
